window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.12737153,-0.27280249,0.17574278,0.276227,0.24220897,-0.24516197,0.10609408,-0.25875654,0.24100521,-0.02451057
0.21411543,-0.28539039,0.01077697,-0.11792003,-0.28652125,0.01352411,-0.12338734,-0.15464896,0.29447797,-0.42162409
0.297595,-0.24156902,0.24983531,0.31400712,-0.14144614,0.15752144,0.31003467,-0.29768851,-0.27694586,0.24595827
0.17600675,-0.24880096,-0.08275086,0.14410219,-0.0492054,-0.08975058,0.25094576,-0.28058435,-0.09026857,0.24867888
-0.36064386,-0.20888015,0.28207082,-0.08828737,-0.22291135,0.22596726,-0.05442203,0.04378754,0.16943049,-0.15928381
0.3567921,0.01720052,0.25317617,-0.05473947,-0.34107506,0.26507548,-0.05945133,0.1420457,0.13000473,0.06662563
