window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.27066195,0.44247354,-0.18520362,-0.2326765,0.31718744,-0.16165466,0.32677695,0.60133357,-0.43250151,-0.46181291
0.26577512,-0.3154529,-0.11714907,-0.43813228,-0.32712375,0.25442037,-0.20145339,-0.16308875,-0.18217828,0.20302383
0.34971731,0.14111775,0.34288802,-0.24508728,0.49295693,0.27927192,-0.30741701,0.67916584,-0.50944326,-0.22030994
0.20660293,-0.24748245,-0.26529021,-0.44827241,-0.27900326,-0.37637169,-0.15678096,0.39703284,-0.43136595,0.41115459
0.27272659,0.1987335,0.28005644,0.25534232,-0.16647593,-0.43705909,-0.42741801,0.28149277,-0.2763124,-0.17968426
-0.37347125,0.53145794,-0.18495047,-0.1713875,-0.28337797,-0.23499107,0.2430595,-0.28324217,0.23547912,0.28287564
