window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.296192,0.07689909,-0.38041384,0.04356978,-0.1917953,0.29645279,-0.26531575,0.04278962,0.2536704,0.05326449
-0.04040202,-0.27933924,-0.12282764,-0.34536271,0.38376636,0.26401663,0.09498036,-0.19435292,0.36804334,0.28630428
0.02362516,0.02038131,-0.28158241,0.29358378,-0.24766623,0.27385334,0.19690517,0.23513337,-0.26774357,0.32212898
0.01320575,0.34170599,-0.27000676,-0.16127441,-0.24235702,0.1287957,0.09883803,-0.25076066,0.12009368,0.17306485
-0.28803496,0.18624524,0.33614968,-0.27235567,0.13511909,-0.05013316,0.23673129,0.26530584,0.25322568,0.10626969
0.08622947,0.11748663,-0.13287564,-0.1046181,-0.32741222,-0.14782326,-0.28160743,0.11256316,-0.04433357,0.28130669
