window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.1783546,-0.24234597,-0.18789492,0.12674422,-0.36255665,0.25065638,0.13003665,0.15814262,0.01077645,0.19122514
-0.36918268,-0.20052218,0.19568503,-0.19463293,0.16398211,-0.12182289,-0.08542574,0.19057933,0.19418826,0.06572412
-0.202966,0.01061761,0.01667298,0.18344997,-0.16639222,0.05693345,-0.16847813,0.13681701,0.14126929,0.1958339
-0.10956568,-0.08712418,-0.23254705,0.06791207,0.16650729,-0.22773167,-0.19252868,0.20658604,-0.11776473,-0.18522358
-0.17188892,0.24629589,0.15448286,-0.29921122,0.03632356,-0.14755687,-0.17691708,-0.26840682,-0.19594376,-0.20414393
-0.17276853,-0.17234789,-0.1908812,-0.1406709,-0.14210829,0.14920619,-0.06099965,0.18813297,-0.21994745,0.28287311
