window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.24299729,-0.24750195,-0.1884618,0.16998295,0.21094005,-0.31421353,-0.30956416,0.32081775,-0.31464141,0.29576462
-0.19591348,0.19528904,0.18086919,0.27365974,-0.16678301,-0.14323631,0.2683311,-0.28036754,0.29440485,-0.23999588
0.17289121,-0.26267845,0.3012354,-0.1968675,0.39210383,-0.512803,0.184849,-0.22384605,0.24598653,0.26643539
-0.16921509,-0.3482628,0.45573561,-0.23160621,-0.37522168,0.17461036,0.1475021,-0.198269,0.14621312,0.37272855
-0.14641688,-0.11962214,-0.2425861,0.30123694,0.19264977,-0.20874362,0.18100124,-0.18018161,-0.15431386,0.15063354
-0.39816077,0.11079237,0.2380284,-0.25326516,0.28628308,-0.21053919,-0.28210913,0.2145867,-0.24874866,-0.23132283
