window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
-0.09796596,0.14047662,-0.29305618,-0.14464672,-0.26586369,0.20518915,0.21693375,-0.29051789,-0.25535841,0.23795347
-0.23090359,0.23958201,-0.3732214,-0.12348417,0.21840539,-0.20626702,0.23085966,-0.28008132,0.0648496,0.23888901
0.27366996,0.05576588,0.28592598,-0.30446863,-0.18335759,-0.17475367,0.31061203,-0.28815215,0.12272952,0.28959482
-0.02033792,0.29724354,-0.24216801,0.13416327,-0.10241868,-0.23645225,-0.32267089,0.28355704,0.16957953,-0.18403557
-0.17162855,0.16766949,0.13616622,-0.14203988,0.14984989,-0.36328805,0.11764615,0.19811171,-0.07754106,-0.24790259
0.25663477,0.09139682,-0.0618029,0.28062427,0.28408446,-0.17134346,-0.25056332,0.15851787,-0.24026318,0.29229797
