window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.02298191,-0.09344944,-0.1239069,0.24454233,-0.07675291,0.16973411,0.19592106,-0.20270125,-0.16370896,-0.23519532
-0.2995409,-0.27336378,-0.22444131,-0.10650927,0.17537452,0.02945613,-0.15920924,-0.07505879,0.30403449,0.12361913
-0.09152739,0.16713656,-0.18436524,0.00957291,-0.13517954,0.09699131,-0.03281219,-0.20018771,-0.01866704,-0.03271594
0.08639331,0.16841705,0.05659058,0.14499792,-0.15574258,0.18225789,0.10769808,0.20827204,0.2070645,-0.15490143
-0.23599023,-0.05750683,-0.05053047,0.0652844,0.07020205,-0.10080893,-0.22238376,-0.03212471,-0.14022456,0.20791041
-0.04201607,-0.04330215,-0.06279337,-0.23945488,0.23890249,0.0696361,-0.0476289,0.26872033,-0.14682328,-0.27023101
