window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
-0.2780275,0.31578932,0.25260874,-0.25928872,-0.28881618,0.29528597,0.26315793,0.28894704,-0.24525891,0.24657872
0.26445184,0.27867051,0.36295125,0.23417602,-0.30111975,-0.24360378,-0.24084111,0.28500058,0.24455807,-0.24323556
-0.27647175,-0.26076172,0.36667261,0.22447763,-0.22707197,0.22378967,-0.27972204,-0.24967363,-0.27044221,-0.26217482
0.25379253,0.29393095,-0.27810526,0.43612746,0.2453569,-0.26302052,-0.26861403,0.26379646,0.27075908,0.29972536
-0.2815194,0.25794958,0.26418422,-0.24310055,-0.25895376,0.25419002,-0.290265743,-0.23645524,0.22652149,0.25297777
0.23589258,-0.23580635,0.25593668,0.21759999,-0.23272074,-0.28655492,-0.23491568,0.25382002,0.20571994,-0.22494215
