window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
-0.20278933,-0.17570124,0.25822244,0.10117045,0.26081512,-0.16005607,0.11797082,0.15651861,0.1955268,-0.25531555
-0.15535079,-0.10408871,0.28536937,-0.34859907,-0.25209592,-0.13888486,0.22352457,0.18868842,0.18380061,0.19651847
-0.20037493,-0.3006575,-0.02395019,-0.10845791,0.12578737,0.2196796,0.15413057,0.04813212,-0.11054128,-0.11923101
0.20338968,0.21655771,-0.09004706,-0.2111355,0.16425296,-0.19392734,-0.13028683,-0.18117257,0.04172132,-0.27475162
0.20793813,-0.09507759,-0.15079129,0.17448977,0.23452208,-0.21624129,0.26899336,0.12927421,-0.08039675,0.1927378
-0.07160298,-0.27609324,-0.18517081,-0.24680383,-0.17857373,-0.25811138,-0.10185028,0.20851083,-0.28405485,0.17148243
