window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
-0.21590844,-0.19427514,0.19556773,-0.24759572,-0.25147562,-0.17744563,-0.21209259,-0.18990642,0.22049499,0.21317519
0.1769181,-0.21061518,-0.23333316,0.23173604,0.18957592,-0.20816419,-0.20784827,0.13924645,-0.17348152,-0.23174571
-0.14373002,-0.18137748,0.21721036,-0.1714213,0.23429697,-0.20530487,0.15596764,0.28863065,0.171465,0.15723152
-0.1776553,-0.18915823,-0.19783769,0.17283118,-0.16651998,0.1408994,0.19491808,0.28317673,0.21676777,0.19717191
-0.182307,0.23361122,-0.22748585,0.1992626,-0.22381784,-0.20098526,0.15273693,0.17406654,0.18651136,0.19621991
-0.19353107,0.18845159,0.21130475,-0.25703231,-0.19218901,0.19705125,-0.17259512,-0.13237148,0.19672266,0.23266395
