window 1,window 2,window 3,window 4,window 5,window 6,window 7,window 8,window 9,window 10
0.16160506,-0.10414824,0.1055215,0.16785521,0.29557226,0.21388295,0.15975092,0.02434626,0.16942695,-0.10759856
-0.14532962,-0.15252108,-0.17846005,0.19518923,0.1763393,-0.0870733,-0.10423784,0.28906787,-0.02602164,-0.19903369
0.21190844,-0.18770366,-0.28936356,0.03923354,0.20899736,-0.15676219,0.26519044,-0.15061374,-0.17906564,-0.16688215
0.15325133,-0.06890167,-0.18150507,-0.16563106,-0.19370551,0.23659888,-0.16861154,0.10176196,-0.17924781,0.21052086
0.21838212,0.11878796,-0.155774,-0.1642177,0.12784118,0.10865234,-0.12320591,-0.16606731,0.046265,0.14744408
-0.11809977,-0.22276432,0.04365551,0.14805394,0.26860474,-0.14144511,-0.20587358,-0.17263927,-0.04286218,0.23734319
